tract,Name,Teenage_Birth_Rate_women_only_rP_gF_pall
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.3901
24510280101,"Reisterstown Station, Baltimore, MD",0.3882
24510080101,"Belair - Edison, Baltimore, MD",0.3829
24005491401,"Parkville, MD",0.38
24510270805,"Mid-Govans, Baltimore, MD",0.3773
24005402404,"Gwynn Oak, Lochearn, MD",0.3698
24510270803,"Loch Raven, Baltimore, MD",0.3689
24510250205,"Lakeland, Baltimore, MD",0.3626
24510260800,"Baltimore Highlands, Baltimore, MD",0.3623
24510151100,"East Arlington, Baltimore, MD",0.3615
24510270902,"Perring Loch, Baltimore, MD",0.3614
24510260203,"Frankford, Baltimore, MD",0.361
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.361
24005402307,"Pikesville, MD",0.3607
24005402304,"Gwynn Oak, Baltimore, MD",0.36
24005401102,"Gwynn Oak, Woodlawn, MD",0.3594
24510250500,"Curtis Bay, Baltimore, MD",0.356
24510280102,"Gwynn Oak, Baltimore, MD",0.3545
24005450503,"Essex, MD",0.3539
24510250303,"Morrell Park, Baltimore, MD",0.3534
24510110100,"Downtown, Baltimore, MD",0.3487
24510270903,"Hillen, Baltimore, MD",0.3452
24510130600,"Hampden, Baltimore, MD",0.3429
24510260102,"Frankford, Baltimore, MD",0.3422
24005450504,"Essex, MD",0.3412
24005402303,"Windsor Mill, Baltimore, MD",0.3393
24510130804,"Hampden, Baltimore, MD",0.3393
24005403202,"Gwynn Oak, Baltimore, MD",0.3369
24510260101,"Cedmont, Baltimore, MD",0.3314
24003750203,"Baltimore, MD",0.3305
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.326
24005402406,"Windsor Mill, Milford Mill, MD",0.324
24005441000,"Baltimore, MD",0.3235
24005421000,"Dundalk, MD",0.3235
24510271900,"Glen, Baltimore, MD",0.322
24510010500,"Upper Fells Point, Baltimore, MD",0.3187
24005451402,"Middle River, MD",0.3171
24005401507,"Windsor Mill, Baltimore, MD",0.3156
24005451401,"Middle River, MD",0.3147
24510040100,"Downtown, Baltimore, MD",0.3144
24005491402,"Parkville, MD",0.3128
24510230300,"South Baltimore, Baltimore, MD",0.3104
24510140100,"Bolton Hill, Baltimore, MD",0.3092
24005402306,"Windsor Mill, Baltimore, MD",0.3077
24510130806,"Woodberry, Baltimore, MD",0.3072
24003750803,"Glen Burnie, MD",0.3054
24005450800,"Essex, MD",0.3051
24005402503,"Randallstown, MD",0.3046
24005451300,"Middle River, MD",0.3045
24510280302,"West Forest Park, Baltimore, MD",0.3043
24003750102,"Baltimore, MD",0.3035
24510270801,"Idlewood, Baltimore, MD",0.3029
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3024
24510230200,"South Baltimore, Baltimore, MD",0.3009
24005402602,"Randallstown, MD",0.3007
24510020200,"Upper Fells Point, Baltimore, MD",0.3004
24510020100,"Upper Fells Point, Baltimore, MD",0.2998
24510261100,"Canton, Baltimore, MD",0.299
24005451500,"Middle River, MD",0.2984
24510270401,"Glenham-Belford, Baltimore, MD",0.2975
24510120201,"Baltimore, MD",0.2957
24003750101,"Brooklyn Park, MD",0.2952
24005450400,"Essex, MD",0.2948
24510270102,"Waltherson, Baltimore, MD",0.294
24510010200,"Patterson Park, Baltimore, MD",0.2925
24510260605,"Medford - Broening, Baltimore, MD",0.2916
24005402305,"Lochearn, Pikesville, MD",0.2902
24510260401,"Armistead Gardens, Baltimore, MD",0.2884
24510280401,"Baltimore, MD",0.2867
24510280403,"Westgate, Baltimore, MD",0.2863
24005492300,"Essex, MD",0.2814
24005401506,"Windsor Mill, Baltimore, MD",0.2801
24510010300,"Canton, Baltimore, MD",0.2778
24005402405,"Gwynn Oak, Baltimore, MD",0.2692
24005402302,"Windsor Mill, Milford Mill, MD",0.2647
24005401101,"Woodlawn, MD",0.2628
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.262
24510270200,"Lauraville, Baltimore, MD",0.26
24510130700,"Hampden, Baltimore, MD",0.2571
24005402407,"Windsor Mill, Milford Mill, MD",0.2567
24510240100,"Locust Point, Baltimore, MD",0.2557
24510270101,"Arcadia, Baltimore, MD",0.255
24510250401,"Brooklyn, Baltimore, MD",0.2542
24005400900,"Catonsville, MD",0.2534
24005452400,"Dundalk, MD",0.252
24005420402,"Dundalk, MD",0.2515
24510250206,"Morrell Park, Baltimore, MD",0.2483
24005420401,"Dundalk, MD",0.2482
24003750201,"Brooklyn, Baltimore, MD",0.2466
24005402403,"Gwynn Oak, Baltimore, MD",0.2466
24005401301,"Woodlawn, MD",0.2455
24510272006,"Glen, Baltimore, MD",0.2443
24510270804,"Lake Walker, Baltimore, MD",0.2433
24510240400,"Riverside Park, Baltimore, MD",0.2416
24005420301,"Dundalk, MD",0.2415
24005420100,"Dundalk, MD",0.2406
24510230100,"Baltimore, MD",0.24
24510130805,"Cold Springs, Baltimore, MD",0.2398
24005450501,"Essex, MD",0.2351
24027601203,"Elkridge, MD",0.2322
24510010100,"Canton, Baltimore, MD",0.2322
24510260700,"Fifteenth Street, Baltimore, MD",0.2309
24005440701,"Rosedale, MD",0.2305
24005401302,"Gwynn Oak, Baltimore, MD",0.2295
24005402603,"Randallstown, MD",0.2279
24005430900,"Baltimore, MD",0.2272
24510270402,"Glenham-Belford, Baltimore, MD",0.2269
24005420600,"Baltimore, MD",0.2248
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2229
24003750202,"Brooklyn Park, MD",0.2199
24003751102,"Glen Burnie, MD",0.2199
24005402604,"Randallstown, MD",0.2184
24510270301,"Lauraville, Baltimore, MD",0.2176
24005402506,"Randallstown, MD",0.2165
24005421101,"Baltimore, MD",0.2154
24005403402,"Pikesville, MD",0.215
24005451801,"Middle River, MD",0.2146
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.2145
24005452500,"Dundalk, MD",0.2127
24005452300,"Baltimore, MD",0.2114
24005420900,"Dundalk, MD",0.2104
24510010400,"Canton, Baltimore, MD",0.2088
24510240300,"Riverside, Baltimore, MD",0.2073
24005400800,"Catonsville, MD",0.2068
24005403100,"Gwynn Oak, Pikesville, MD",0.2061
24005401200,"Woodlawn, MD",0.2037
24005420701,"Dundalk, MD",0.2018
24510270302,"Waltherson, Baltimore, MD",0.2016
24005451100,"Essex, MD",0.201
24510272007,"Fallstaff, Baltimore, MD",0.1974
24005452000,"Sparrows Point, MD",0.1969
24025306500,"Aberdeen Proving Ground, MD",0.1965
24005450100,"Rosedale, MD",0.1959
24005450200,"Essex, MD",0.1957
24003750300,"Linthicum Heights, MD",0.1942
24005451600,"Middle River, MD",0.1925
24510240200,"Riverside, Baltimore, MD",0.1923
24005440400,"Baltimore, MD",0.1912
24510260501,"Joseph Lee, Baltimore, MD",0.19
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1883
24005401505,"Catonsville, MD",0.1874
24005400702,"Baltimore, MD",0.1872
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.1859
24005403201,"Gwynn Oak, Lochearn, MD",0.1839
24005420800,"Dundalk, MD",0.183
24005492102,"Parkville, MD",0.1829
24005441102,"Rosedale, MD",0.1787
24510250103,"Violetville, Baltimore, MD",0.1781
24005451802,"Middle River, MD",0.1763
24005451900,"Edgemere, MD",0.1762
24003751103,"Glen Burnie, MD",0.1749
24510260900,"Baltimore, MD",0.1749
24005430400,"Halethorpe, MD",0.1738
24005420302,"Dundalk, MD",0.1737
24005420702,"Dundalk, MD",0.172
24005440702,"Rosedale, MD",0.1695
24005421102,"Dundalk, MD",0.1687
24005451803,"Middle River, MD",0.1685
24510270502,"North Harford Road, Baltimore, MD",0.1679
24510130803,"Medfield, Baltimore, MD",0.1646
24005451200,"Middle River, MD",0.1641
24005420500,"Baltimore, MD",0.1637
24510270501,"Woodring, Baltimore, MD",0.1627
24025301401,"Harford County, MD",0.1603
24005452100,"Sparrows Point, MD",0.16
24005440500,"Nottingham, MD",0.1597
24005492002,"Parkville, MD",0.1586
24005440900,"Rosedale, MD",0.1582
24005491500,"Parkville, MD",0.1581
24510220100,"Baltimore, MD",0.1576
24005451000,"Essex, MD",0.1566
24005403300,"Lochearn, Pikesville, MD",0.1543
24005430800,"Halethorpe, MD",0.1535
24005400701,"Catonsville, MD",0.15
24003750801,"Glen Burnie, MD",0.1491
24510020300,"Fells Point, Baltimore, MD",0.1467
24005421200,"Dundalk, MD",0.1466
24005420303,"Dundalk, MD",0.146
24005440800,"Rosedale, MD",0.1457
24510271101,"Radnor - Winston, Baltimore, MD",0.1457
24005451702,"Middle River, MD",0.144
24510272003,"Baltimore, MD",0.1422
24027601204,"Elkridge, MD",0.1403
24005402509,"Owings Mills, MD",0.1372
24005411407,"Parkville, MD",0.1352
24005440300,"Nottingham, MD",0.1343
24005450900,"Essex, MD",0.1332
24005411302,"White Marsh, MD",0.1314
24005402202,"Baltimore County, MD",0.129
24005441101,"Rosedale, MD",0.1281
24005430700,"Halethorpe, MD",0.1271
24510270703,"North Harford Road, Baltimore, MD",0.125
24005450300,"Essex, MD",0.1237
24003750804,"Glen Burnie, MD",0.1231
24005491300,"Baltimore, MD",0.1215
24005492101,"Parkville, MD",0.1209
24005403401,"Pikesville, MD",0.119
24005411408,"Nottingham, MD",0.118
24003751200,"Linthicum Heights, MD",0.1149
24027601107,"Waterloo, Elkridge, MD",0.1143
24005411306,"Nottingham, MD",0.114
24005440200,"Nottingham, MD",0.1123
24005420200,"Dundalk, MD",0.1114
24005400100,"Catonsville, MD",0.1113
24005440600,"Rosedale, MD",0.1082
24027602900,"Normandy, Ellicott City, MD",0.107
24005400200,"Catonsville, MD",0.1049
24027601201,"Elkridge, MD",0.1003
24005451701,"Middle River, MD",0.0977
24003750400,"Linthicum Heights, MD",0.0965
24005492001,"Parkville, MD",0.096
24510271102,"Mid-Charles, Baltimore, MD",0.0933
24005411307,"Nottingham, MD",0.0921
24005491100,"Baltimore, MD",0.0906
24005400600,"Catonsville, MD",0.0904
24510120202,"Baltimore, MD",0.0881
24027601105,"Ellicott City, MD",0.0866
24005403701,"Owings Mills, MD",0.0812
24027601103,"West Elkridge, Elkridge, MD",0.0774
24027602600,"Ellicott City, MD",0.0774
24027601108,"Ellicott City, MD",0.0772
24005401503,"Catonsville, MD",0.0747
24005440100,"Baltimore, MD",0.0742
24005401504,"Catonsville, MD",0.0724
24005430600,"Relay, Halethorpe, MD",0.0723
24005401000,"Catonsville, MD",0.0707
24027606706,"Kendall Ridge, Columbia, MD",0.069
24005403702,"Pikesville, MD",0.0678
24027602800,"Ellicott City, MD",0.0667
24510272005,"Cross Country, Baltimore, MD",0.0585
24027602700,"Taylor Village, Ellicott City, MD",0.0577
24005411308,"Nottingham, MD",0.0554
24005401400,"Catonsville, MD",0.0513
24005400400,"Catonsville, MD",0.0492
24510272004,"Cheswolde, Baltimore, MD",0.0437
24005490800,"Towson, MD",0.0427
24027601104,"Ellicott City, MD",0.0413
24005490400,"Towson, MD",0.0373
24005491202,"Towson, MD",0.036
24005490602,"Baltimore, MD",0.0358
24005403602,"Baltimore, MD",0.0316
24005400500,"Catonsville, MD",0.0312
24027602100,"Ellicott City, MD",0.0263
24005403500,"Pikesville, MD",0.0254
24510271200,"Homeland, Baltimore, MD",0.0251
24510271400,"Evergreen, Baltimore, MD",0.0179
24005490500,"Towson, MD",0.0167
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.0166
24510271300,"Roland Park, Baltimore, MD",0.0108
24005490601,"Baltimore, MD",0.01
24510271501,"Mount Washington, Baltimore, MD",0.0098
24005490603,"Baltimore, MD",0.0075
24005403601,"Baltimore, MD",0.0063
24005403803,"Pikesville, MD",0.0052
24005491000,"Baltimore, MD",0
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
24045010200,"Salisbury, MD",0.4794
10005051400,"Selbyville, DE",0.3969
10005050200,"Ellendale, DE",0.3485
24019970200,"Hurlock, MD",0.3428
10001043000,"Harrington, DE",0.3385
10005050602,"Millsboro, DE",0.3224
10005050408,"Seaford, DE",0.3204
10005050301,"Bridgeville, DE",0.3052
24011955600,"Federalsburg, MD",0.3034
10005050406,"Seaford, DE",0.2961
10001042500,"Milford, DE",0.2955
10005051900,"Delmar, DE",0.2865
24045010702,"Salisbury, MD",0.2828
10005051500,"Dagsboro, DE",0.2759
10005051802,"Laurel, DE",0.2757
24019970100,"Rhodesdale, MD",0.2733
10005051003,"Rehoboth Beach, DE",0.2689
10005050302,"Bridgeville, DE",0.2626
10005050701,"Millsboro, DE",0.2511
10005050407,"Seaford, DE",0.2493
10005050403,"Seaford, DE",0.2487
10005050501,"Georgetown, DE",0.2467
10001042900,"Houston, DE",0.2462
10005050503,"Georgetown, DE",0.2457
10001043202,"Frederica, DE",0.2364
10005051701,"Laurel, DE",0.2353
10001042800,"Felton, DE",0.2346
10005051702,"Laurel, DE",0.2275
10005050703,"Millsboro, DE",0.226
24011955400,"Denton, MD",0.2233
10005050705,"Millsboro, DE",0.2218
10005050105,"Lincoln, DE",0.2189
10005050405,"Seaford, DE",0.2171
10001043100,"Harrington, DE",0.2115
10005050104,"Milford, DE",0.2102
10005050103,"Milford, DE",0.2073
34009021806,"North Cape May, NJ",0.2072
10005050801,"Milton, DE",0.204
10005050601,"Millsboro, DE",0.2033
10005051801,"Bethel, DE",0.2023
24011955100,"Greensboro, MD",0.201
10005050401,"Seaford, DE",0.1989
10005050706,"Long Neck, DE",0.1983
24045010701,"Mardela Springs, MD",0.1964
24045010604,"Pittsville, MD",0.1929
10005051306,"Selbyville, DE",0.1919
24011955301,"Denton, MD",0.1918
10005051202,"Bethany Beach, DE",0.1912
24045010603,"Salisbury, MD",0.1907
10001043400,"Milford, DE",0.1888
10005050704,"Millsboro, DE",0.1866
10005051302,"Frankford, DE",0.1762
24047950800,"Showell, MD",0.1705
10005051102,"Rehoboth Beach, DE",0.1672
34009021900,"Cape May, NJ",0.1588
10005051004,"Lewes, DE",0.1402
10005050504,"Georgetown, DE",0.1367
10005050803,"Lewes, DE",0.1362
10005051006,"Lewes, DE",0.1349
24047950300,"Ocean City, MD",0.1303
10005050802,"Harbeson, DE",0.1295
10005050101,"Milford, DE",0.1248
34009021701,"Cape May, NJ",0.1201
34009021702,"Cape May, NJ",0.1181
10005051204,"South Bethany, DE",0.1147
10005051005,"Lewes, DE",0.1141
10005051301,"Dagsboro, DE",0.0987
10005050902,"Lewes, DE",0.0957
10005051205,"Fenwick Island, DE",0.0853
34009022000,"Cape May, NJ",0.0755
10005051303,"Ocean View, DE",0.0724
10005051007,"Rehoboth Beach, DE",0.0685
24047950100,"Ocean City, MD",0.0559
34009021600,"Wildwood Crest, NJ",0.0456
10005051201,"Ocean View, DE",0.034
10005051103,"Rehoboth Beach, DE",0.0278
10005051305,"Selbyville, DE",0.0255
10005051203,"Bethany Beach, DE",0.0142
10005050901,"Lewes, DE",0.0138
10005051101,"Rehoboth Beach, DE",0
