tract,Name,Fraction_Married_rP_gF_pall
24510270804,"Lake Walker, Baltimore, MD",0.4003
24510272007,"Fallstaff, Baltimore, MD",0.3999
24510240200,"Riverside, Baltimore, MD",0.3929
24510260501,"Joseph Lee, Baltimore, MD",0.3879
24510250303,"Morrell Park, Baltimore, MD",0.3875
24005440701,"Rosedale, MD",0.3846
24003750803,"Glen Burnie, MD",0.3841
24510271101,"Radnor - Winston, Baltimore, MD",0.3839
24005420301,"Dundalk, MD",0.3833
24005452300,"Baltimore, MD",0.3797
24005451402,"Middle River, MD",0.3778
24005403402,"Pikesville, MD",0.374
24005401505,"Catonsville, MD",0.3737
24510250401,"Brooklyn, Baltimore, MD",0.3701
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.3699
24510020300,"Fells Point, Baltimore, MD",0.3687
24003750101,"Brooklyn Park, MD",0.3673
24027601203,"Elkridge, MD",0.3631
24005450800,"Essex, MD",0.3619
24510250206,"Morrell Park, Baltimore, MD",0.3585
24005400900,"Catonsville, MD",0.3581
24510270502,"North Harford Road, Baltimore, MD",0.358
24003750201,"Brooklyn, Baltimore, MD",0.3578
24005491402,"Parkville, MD",0.3572
24510140100,"Bolton Hill, Baltimore, MD",0.357
24510220100,"Baltimore, MD",0.3522
24005440300,"Nottingham, MD",0.3466
24510270101,"Arcadia, Baltimore, MD",0.3461
24005451500,"Middle River, MD",0.343
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3394
24510240300,"Riverside, Baltimore, MD",0.3345
24510260800,"Baltimore Highlands, Baltimore, MD",0.3321
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.3316
24510270401,"Glenham-Belford, Baltimore, MD",0.3297
24510271503,"Cross Keys, Baltimore, MD",0.3296
24510020200,"Upper Fells Point, Baltimore, MD",0.3274
24510130806,"Woodberry, Baltimore, MD",0.3259
24005401102,"Gwynn Oak, Woodlawn, MD",0.3243
24510130803,"Medfield, Baltimore, MD",0.3223
24510260700,"Fifteenth Street, Baltimore, MD",0.3217
24510260101,"Cedmont, Baltimore, MD",0.3209
24510250600,"Brooklyn, Baltimore, MD",0.3162
24510270200,"Lauraville, Baltimore, MD",0.3162
24005421000,"Dundalk, MD",0.3153
24005450504,"Essex, MD",0.3134
24510010500,"Upper Fells Point, Baltimore, MD",0.3096
24005401302,"Gwynn Oak, Baltimore, MD",0.3084
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.3076
24005451100,"Essex, MD",0.3075
24510270102,"Waltherson, Baltimore, MD",0.3063
24510260401,"Armistead Gardens, Baltimore, MD",0.3054
24005401101,"Woodlawn, MD",0.3053
24003751102,"Glen Burnie, MD",0.3052
24005401301,"Woodlawn, MD",0.3032
24005402509,"Owings Mills, MD",0.2996
24005441000,"Baltimore, MD",0.2935
24510270301,"Lauraville, Baltimore, MD",0.2912
24005402506,"Randallstown, MD",0.2835
24005402604,"Randallstown, MD",0.2797
24510270302,"Waltherson, Baltimore, MD",0.2777
24005450503,"Essex, MD",0.2768
24510260900,"Baltimore, MD",0.2733
24005402603,"Randallstown, MD",0.2714
24005401506,"Windsor Mill, Baltimore, MD",0.2692
24510250402,"Brooklyn, Baltimore, MD",0.2681
24510040100,"Downtown, Baltimore, MD",0.2673
24510010200,"Patterson Park, Baltimore, MD",0.2668
24005402407,"Windsor Mill, Milford Mill, MD",0.2634
24510210200,"Pigtown, Baltimore, MD",0.2634
24510020100,"Upper Fells Point, Baltimore, MD",0.2632
24005402602,"Randallstown, MD",0.263
24510010300,"Canton, Baltimore, MD",0.2626
24510230300,"South Baltimore, Baltimore, MD",0.2609
24510280403,"Westgate, Baltimore, MD",0.2598
24510120700,"Remington, Baltimore, MD",0.2582
24005401200,"Woodlawn, MD",0.2567
24510271900,"Glen, Baltimore, MD",0.2566
24005402503,"Randallstown, MD",0.2474
24510250500,"Curtis Bay, Baltimore, MD",0.2451
24510261000,"Patterson Park, Baltimore, MD",0.2409
24005403100,"Gwynn Oak, Pikesville, MD",0.2405
24005402405,"Gwynn Oak, Baltimore, MD",0.2333
24510250205,"Lakeland, Baltimore, MD",0.2315
24510230100,"Baltimore, MD",0.2314
24510260404,"Baltimore Highlands, Baltimore, MD",0.2298
24005401507,"Windsor Mill, Baltimore, MD",0.2265
24005421300,"Dundalk, MD",0.2262
24510080101,"Belair - Edison, Baltimore, MD",0.2239
24510200500,"Mill Hill, Baltimore, MD",0.2172
24005402302,"Windsor Mill, Milford Mill, MD",0.2166
24510270903,"Hillen, Baltimore, MD",0.2163
24005491401,"Parkville, MD",0.2121
24005402305,"Lochearn, Pikesville, MD",0.2103
24510270801,"Idlewood, Baltimore, MD",0.2065
24005403201,"Gwynn Oak, Lochearn, MD",0.2036
24510270803,"Loch Raven, Baltimore, MD",0.2029
24005403202,"Gwynn Oak, Baltimore, MD",0.2014
24510280402,"Rognel Heights, Baltimore, MD",0.1941
24005402403,"Gwynn Oak, Baltimore, MD",0.1919
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.1888
24510270802,"Ramblewood, Baltimore, MD",0.1855
24510190200,"Pratt Monroe, Baltimore, MD",0.1853
24510110200,"Downtown, Baltimore, MD",0.1834
24510260102,"Frankford, Baltimore, MD",0.1825
24510260201,"Frankford, Baltimore, MD",0.1822
24510200600,"Baltimore, MD",0.1804
24005402406,"Windsor Mill, Milford Mill, MD",0.177
24510130805,"Cold Springs, Baltimore, MD",0.1769
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.1766
24510260604,"O'Donnell Heights, Baltimore, MD",0.1751
24510270902,"Perring Loch, Baltimore, MD",0.172
24005402303,"Windsor Mill, Baltimore, MD",0.1716
24510260302,"Belair - Edison, Baltimore, MD",0.1689
24510260301,"Belair - Edison, Baltimore, MD",0.1674
24005402307,"Pikesville, MD",0.1671
24510190300,"Mount Clare, Baltimore, MD",0.1659
24510030200,"Little Italy, Baltimore, MD",0.1641
24510280401,"Baltimore, MD",0.1618
24510280102,"Gwynn Oak, Baltimore, MD",0.1612
24005402306,"Windsor Mill, Baltimore, MD",0.1594
24510280302,"West Forest Park, Baltimore, MD",0.1572
24510200702,"Saint Joseph's, Baltimore, MD",0.1536
24510250101,"Beechfield, Baltimore, MD",0.1515
24510260203,"Frankford, Baltimore, MD",0.1505
24510090500,"Better Waverly, Baltimore, MD",0.1502
24510270805,"Mid-Govans, Baltimore, MD",0.1499
24005402404,"Gwynn Oak, Lochearn, MD",0.1473
24510040200,"Downtown, Baltimore, MD",0.1473
24510120600,"Old Goucher, Baltimore, MD",0.1467
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1465
24510151100,"East Arlington, Baltimore, MD",0.1464
24510060200,"Baltimore, MD",0.1464
24510260202,"Parkside, Baltimore, MD",0.1462
24510060300,"Butchers Hill, Baltimore, MD",0.146
24510250203,"Cherry Hill, Baltimore, MD",0.146
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.1454
24510280200,"Gwynn Oak, Baltimore, MD",0.1438
24510280301,"Gwynn Oak, Baltimore, MD",0.1424
24005402304,"Gwynn Oak, Baltimore, MD",0.1424
24510150500,"Burleith-Leighton, Baltimore, MD",0.1411
24510030100,"Perkins Homes, Baltimore, MD",0.1399
24510060100,"Patterson Park, Baltimore, MD",0.1383
24510070100,"Baltimore, MD",0.1337
24510250301,"Westport, Baltimore, MD",0.1315
24510080500,"Darley Park, Baltimore, MD",0.1306
24510280101,"Reisterstown Station, Baltimore, MD",0.1289
24510150702,"Walbrook, Baltimore, MD",0.1275
24510120500,"Greenmount West, Baltimore, MD",0.127
24510130100,"Reservoir Hill, Baltimore, MD",0.1264
24510110100,"Downtown, Baltimore, MD",0.1242
24510260402,"Frankford, Baltimore, MD",0.1238
24510130400,"Woodbrook, Baltimore, MD",0.1225
24510270901,"New Northwood, Baltimore, MD",0.1219
24510130200,"Reservoir Hill, Baltimore, MD",0.1211
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",0.1199
24510250102,"Yale Heights, Baltimore, MD",0.1177
24510150701,"Hanlon Longwood, Baltimore, MD",0.1168
24510160700,"Rosemont, Baltimore, MD",0.115
24510200800,"Irvington, Baltimore, MD",0.1146
24510180300,"Hollins Market, Baltimore, MD",0.1128
24510271002,"Winston - Govans, Baltimore, MD",0.1127
24510151200,"Park Circle, Baltimore, MD",0.1094
24510271001,"Baltimore, MD",0.1085
24510150300,"Coppin Heights, Baltimore, MD",0.1077
24510250207,"Cherry Hill, Baltimore, MD",0.1065
24510170100,"Downtown, Baltimore, MD",0.1056
24510090400,"Better Waverly, Baltimore, MD",0.1055
24510150400,"Mondawmin, Baltimore, MD",0.1053
24510150800,"Garwyn Oaks, Baltimore, MD",0.1045
24510160802,"Edmondson, Baltimore, MD",0.1044
24510151000,"Dorchester, Baltimore, MD",0.1038
24510260403,"Cedonia, Baltimore, MD",0.1024
24510271700,"Central Park Heights, Baltimore, MD",0.1019
24510271802,"Langston Hughes, Baltimore, MD",0.0993
24510280404,"Irvington, Baltimore, MD",0.098
24510120300,"Harwood, Baltimore, MD",0.0978
24510160200,"Sandtown-Winchester, Baltimore, MD",0.0975
24510200701,"Allendale, Baltimore, MD",0.0962
24510210100,"Pigtown, Baltimore, MD",0.0946
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.0929
24510140300,"Druid Heights, Baltimore, MD",0.0914
24510151300,"Central Park Heights, Baltimore, MD",0.0906
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.0892
24510271801,"Arlington, Baltimore, MD",0.0889
24510070400,"Gay Street, Baltimore, MD",0.0884
24510070200,"Madison - Eastend, Baltimore, MD",0.087
24510160801,"Edmondson, Baltimore, MD",0.087
24510260303,"Claremont - Freedom, Baltimore, MD",0.0866
24510160600,"Mosher, Baltimore, MD",0.0854
24510150200,"Sandtown-Winchester, Baltimore, MD",0.0851
24510090800,"East Baltimore Midway, Baltimore, MD",0.0848
24510180200,"Poppleton, Baltimore, MD",0.0844
24510080700,"Broadway East, Baltimore, MD",0.0836
24510080200,"Broadway East, Baltimore, MD",0.0832
24510080302,"Berea, Baltimore, MD",0.083
24510100200,"Baltimore, MD",0.0828
24510200200,"Lexington, Baltimore, MD",0.0823
24510150900,"Windsor Hills, Baltimore, MD",0.0806
24510080102,"Belair - Edison, Baltimore, MD",0.0789
24510271600,"Edgecomb, Baltimore, MD",0.0787
24510150600,"NW Community Action, Baltimore, MD",0.0787
24510140200,"Upton, Baltimore, MD",0.0772
24510080301,"Berea, Baltimore, MD",0.0764
24510090900,"Oliver, Baltimore, MD",0.0754
24510080400,"Broadway East, Baltimore, MD",0.0729
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.0729
24510120400,"Barclay, Baltimore, MD",0.0723
24510170300,"Upton, Baltimore, MD",0.0721
24510200400,"Shipley Hill, Baltimore, MD",0.0717
24510130300,"Penn North, Baltimore, MD",0.0698
24510060400,"Baltimore, MD",0.0678
24510080800,"Broadway East, Baltimore, MD",0.0669
24510160100,"Harlem Park, Baltimore, MD",0.0643
24510180100,"Poppleton, Baltimore, MD",0.0642
24510070300,"Milton - Montford, Baltimore, MD",0.0622
24510250204,"Cherry Hill, Baltimore, MD",0.06
24510080600,"Broadway East, Baltimore, MD",0.0562
24510170200,"McCulloh Homes, Baltimore, MD",0.0554
24510150100,"Sandtown-Winchester, Baltimore, MD",0.0522
24510160400,"Midtown Edmondson, Baltimore, MD",0.051
24510190100,"Franklin Square, Baltimore, MD",0.0435
24510280500,"Pleasant View Gardens, Baltimore, MD",0.042
24510100100,"Johnson Square, Baltimore, MD",0.0291
24510160300,"Sandtown-Winchester, Baltimore, MD",0.0226
24510200100,"Lexington, Baltimore, MD",0.0176
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
10005051202,"Bethany Beach, DE",0.6044
34009021702,"Cape May, NJ",0.5962
10005051203,"Bethany Beach, DE",0.5765
10005050901,"Lewes, DE",0.5554
10005051306,"Selbyville, DE",0.5502
10005051102,"Rehoboth Beach, DE",0.539
10005051301,"Dagsboro, DE",0.5347
10005051006,"Lewes, DE",0.5279
24047950100,"Ocean City, MD",0.5259
10005051007,"Rehoboth Beach, DE",0.5147
10005051701,"Laurel, DE",0.5146
10005051801,"Bethel, DE",0.5094
34009021701,"Cape May, NJ",0.5052
10005050405,"Seaford, DE",0.5035
10005051101,"Rehoboth Beach, DE",0.4983
24019970100,"Rhodesdale, MD",0.4884
10005050401,"Seaford, DE",0.4873
10005051004,"Lewes, DE",0.4855
24011955301,"Denton, MD",0.4825
10005051205,"Fenwick Island, DE",0.4812
10005050103,"Milford, DE",0.4804
10005051103,"Rehoboth Beach, DE",0.4787
10005051204,"South Bethany, DE",0.4767
10001042800,"Felton, DE",0.475
24047950300,"Ocean City, MD",0.4729
10001043100,"Harrington, DE",0.4718
24047950800,"Showell, MD",0.4702
10001042900,"Houston, DE",0.4676
10005050101,"Milford, DE",0.4672
10005051201,"Ocean View, DE",0.4619
10005050902,"Lewes, DE",0.4617
10005050104,"Milford, DE",0.4609
34009021600,"Wildwood Crest, NJ",0.4592
24011955400,"Denton, MD",0.4591
10005050601,"Millsboro, DE",0.4581
10005051302,"Frankford, DE",0.4576
24011955100,"Greensboro, MD",0.4542
34009021900,"Cape May, NJ",0.4477
10005051303,"Ocean View, DE",0.4456
10005051900,"Delmar, DE",0.4446
34009022000,"Cape May, NJ",0.4414
10005051005,"Lewes, DE",0.4384
10001043000,"Harrington, DE",0.4376
10005050301,"Bridgeville, DE",0.4365
24045010603,"Salisbury, MD",0.4341
10005050302,"Bridgeville, DE",0.4327
10005050602,"Millsboro, DE",0.428
10005051702,"Laurel, DE",0.4277
24045010701,"Mardela Springs, MD",0.4257
34009021806,"North Cape May, NJ",0.4253
10005050504,"Georgetown, DE",0.4244
10001043400,"Milford, DE",0.4211
10005050802,"Harbeson, DE",0.4161
10005050501,"Georgetown, DE",0.4139
10001043202,"Frederica, DE",0.4124
24045010604,"Pittsville, MD",0.4115
10005051305,"Selbyville, DE",0.4103
10005050705,"Millsboro, DE",0.4026
10005050801,"Milton, DE",0.3978
10005051003,"Rehoboth Beach, DE",0.3963
10005050803,"Lewes, DE",0.3946
10005050503,"Georgetown, DE",0.3922
10005050407,"Seaford, DE",0.3891
24045010702,"Salisbury, MD",0.3842
10005050701,"Millsboro, DE",0.3751
10005050703,"Millsboro, DE",0.3702
10005051802,"Laurel, DE",0.367
10005050403,"Seaford, DE",0.3631
24011955600,"Federalsburg, MD",0.3507
10005050200,"Ellendale, DE",0.3456
10005050704,"Millsboro, DE",0.3455
10005050706,"Long Neck, DE",0.3418
10005050105,"Lincoln, DE",0.3345
10005051500,"Dagsboro, DE",0.3146
10001042500,"Milford, DE",0.3142
10005050406,"Seaford, DE",0.3134
24019970200,"Hurlock, MD",0.3107
10005050408,"Seaford, DE",0.3053
10005051400,"Selbyville, DE",0.2904
24045010200,"Salisbury, MD",0.1422
